Designator,Footprint,Quantity,Value,LCSC Part #
BT1,PB621SR13TF,1,PB-621SR13-TF,
C1,1206,1,10u,
"C11, C19",0805,2,1u,
"C12, C14, C16, C26, C27, C29, C31, C34, C5, C9",0201,10,0.1u,
C13,1206,1,22u,
C15,0402,1,10u,
"C17, C24, C25",0402,3,22u,
"C18, C20, C21, C22, C23, C28, C30, C37, C4",0805,9,0.1u,
"C2, C32",0805,2,10u,
C3,0201,1,NC,
"C33, C35",0201,2,22u,
C36,0201,1,10nF,
C6,0201,1,0.12u,
C7,0402,1,47pf,
C8,0805,1,22u,
"D1, D2, D3",0805,3,LED,
D4,POWERDI123,1,DFLS240-7,
"D5, D6",01005,2,0.35pf,
D7,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,1,SK6812MINI,
IC1,TO254P1435X464-4N,1,LM1084IS-3.3_NOPB,
IC2,SOP65P640X120-16N,1,INA260AIPWR,
IC3,BMP390,1,BMP390,
IC4,SOTFL50P160X60-6N,1,TPS61023DRLR,
IC5,QFN50P500X500X80-33N,1,MAX3421EETJ+,
J1,AMASS_XT60PW-F,1,XT60PW-F,
"J2, J3",518144002,2,5-1814400-2,
J4,GCT_USB4085-GF-A_REVB,1,USB4085-GF-A_REVB,
"J5, J6, J7",2828362,3,Screw_Terminal_01x02,
J8,PinHeader_2x05_P1.27mm_Vertical,1,Conn_02x05_Odd_Even,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_2_Open,
"JP3, JP4, JP6, JP7, JP8",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,5,Jumper_2_Small_Open,
L1,74438357100,1,4.7u/3.3A,
L2,1210,1,1u,
L3,0201,1,27nH,
LS1,CMT8504100SMTTR,1,MLT-8530,
"Q1, Q2, Q3, Q4",SOT-23,4,BSS138,
R1,0402,1,100k,
"R10, R11",0805,2,68,
"R12, R39, R40, R41, R9",0603,5,100k,
R13,0805,1,1k,
"R14, R15",0402,2,22R,
R16,0805,1,0,
R17,0201,1,10R,
"R18, R44, R6, R7",0805,4,10k,
"R19, R21, R23, R28, R29, R30",0402,6,1k,
R2,0402,1,22.1k,
"R20, R22, R24, R25, R26, R27",0805,6,100k,
R3,0805,1,220,
"R31, R33, R35",0402,3,5.6k,
"R32, R34, R36",0402,3,2k,
"R37, R38",0402,2,5.1k,
"R4, R5",0805,2,4k7,
R42,TO-263-2_TabPin1,1,5R 25w,
R8,0603,1,732k,
SW1,MN11LL1W01-C,1,SW_SPST,
U1,SOT-23-6,1,SY8253ADC,
"U10, U11, U9",SOT-323_SC-70,3,DMP2160UW-7,
U2,LGA-14L_2P5X3X0P83_STM,1,LSM6DSO32TR,
U3,LGA-28_5.2x3.8mm_P0.5mm,1,BNO055,
U4,SSOP-24_5.3x8.2mm_P0.65mm,1,PCA9555DBR,
U5,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U6,XCVR_RAK3172-8-SM-NI,1,RAK3172-8-SM-NI,
U7,XCVR_MAX-M10S-00B,1,MAX-M10S-00B,
U8,SOT-23-6,1,USBLC6-2SC6,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,12Mhz/12pf,
