Designator,Mid X,Mid Y,Rotation,Layer
BT1,94.07306,-67.012241,0.0,top
C1,98.77306,-74.382241,270.0,bottom
C11,84.560439,-57.415422,90.0,top
C12,81.68556,-48.782241,180.0,top
C13,91.71306,-75.929741,90.0,bottom
C14,94.41306,-60.059741,90.0,bottom
C15,69.41306,-33.572241,270.0,top
C16,70.54306,-33.414741,270.0,top
C17,98.5525,-40.78,0.0,bottom
C18,65.61306,-44.564741,90.0,bottom
C19,68.80556,-37.792241,0.0,top
C2,96.75056,-48.968005,0.0,bottom
C20,68.30556,-40.712241,0.0,bottom
C21,83.620439,-61.810422,270.0,top
C22,74.632939,-39.657922,0.0,bottom
C23,80.682939,-64.387922,0.0,top
C24,103.14306,-41.202241,180.0,top
C25,104.17306,-40.749741,90.0,bottom
C26,97.17056,-32.272241,0.0,top
C27,98.68306,-39.799741,90.0,top
C28,75.832939,-72.007922,0.0,top
C29,98.96556,-32.272241,180.0,top
C3,95.73306,-60.039741,270.0,bottom
C30,75.832939,-74.057922,0.0,top
C31,97.42306,-40.074741,90.0,top
C32,55.29556,-43.592241,0.0,bottom
C33,99.72306,-38.824741,90.0,top
C34,54.81056,-39.752241,180.0,top
C35,102.81056,-35.442241,0.0,top
C36,59.19056,-74.712241,180.0,top
C37,58.46306,-38.419741,270.0,bottom
C4,95.59556,-75.662241,180.0,bottom
C5,81.382939,-57.157922,180.0,bottom
C6,78.520439,-57.545422,90.0,top
C7,92.20056,-69.492241,180.0,bottom
C8,94.54306,-55.474741,270.0,bottom
C9,79.340439,-50.437922,270.0,top
D1,88.57306,-69.532241,90.0,top
D2,90.522902,-53.157922,180.0,top
D3,90.520402,-50.957922,180.0,top
D4,99.160439,-53.497922,270.0,top
D5,62.176734,-60.595915,135.0,top
D6,59.63306,-72.684741,270.0,top
D7,71.680439,-52.332922,180.0,top
IC1,103.21306,-54.032241,180.0,bottom
IC2,96.04056,-64.962241,90.0,bottom
IC3,80.548439,-61.277922,0.0,top
IC4,101.15106,-41.122241,180.0,bottom
IC5,96.19306,-35.772241,270.0,top
J1,105.911439,-68.155422,90.0,top
J2,55.670439,-62.357922,180.0,top
J3,55.449439,-73.007922,180.0,top
J4,107.550439,-43.487922,90.0,top
J5,72.050439,-87.667922,0.0,top
J6,92.780439,-87.637922,0.0,top
J7,82.400439,-87.667922,0.0,top
J8,61.60806,-35.802241,180.0,top
L1,94.88306,-79.602241,0.0,bottom
L2,101.71,-38.34,180.0,bottom
L3,59.63306,-73.464741,90.0,top
LS1,106.080439,-54.407922,0.0,top
Q1,98.182939,-48.307922,180.0,top
Q2,56.74556,-83.302241,180.0,top
Q3,103.92556,-78.112241,0.0,top
Q4,80.55306,-73.384741,90.0,top
R1,92.21556,-70.502241,180.0,bottom
R10,94.345402,-53.127922,180.0,top
R11,94.340402,-50.917922,180.0,top
R12,103.51306,-33.429741,90.0,top
R13,94.840439,-46.367922,90.0,top
R14,96.55306,-40.084741,270.0,top
R15,95.57306,-40.094741,270.0,top
R16,70.940439,-49.117922,180.0,top
R17,59.58306,-75.782241,90.0,top
R18,60.47306,-40.812241,270.0,bottom
R19,55.96556,-80.942241,0.0,top
R2,92.22556,-71.512241,0.0,bottom
R20,53.70306,-80.242241,90.0,top
R21,106.78306,-77.739741,90.0,top
R22,107.77306,-79.922241,0.0,top
R23,82.80056,-68.572241,0.0,top
R24,82.64306,-70.482241,0.0,top
R25,60.63306,-84.602241,0.0,top
R26,102.04306,-80.932241,180.0,top
R27,84.16306,-74.262241,0.0,top
R28,61.950439,-86.497922,180.0,top
R29,105.38056,-81.522241,180.0,top
R3,86.43306,-69.547241,90.0,top
R30,76.66306,-77.839741,90.0,top
R31,72.57306,-84.074741,270.0,bottom
R32,73.96306,-84.059741,90.0,bottom
R33,95.56306,-81.012241,270.0,top
R34,94.02306,-80.979741,90.0,top
R35,88.13306,-81.069741,270.0,bottom
R36,89.96306,-81.042241,90.0,bottom
R37,103.30306,-44.772241,180.0,bottom
R38,108.132939,-42.207922,0.0,bottom
R39,63.70056,-82.852241,180.0,top
R4,75.97306,-35.592241,0.0,bottom
R40,101.02306,-86.144741,90.0,top
R41,80.01306,-83.359741,90.0,bottom
R42,68.76806,-65.269924,90.0,bottom
R44,57.27306,-46.282241,0.0,bottom
R5,75.97306,-37.512241,0.0,bottom
R6,65.92306,-36.802241,270.0,top
R7,70.950439,-47.047922,0.0,top
R8,101.02556,-42.872241,0.0,bottom
R9,99.22306,-44.522241,180.0,bottom
SW1,81.79306,-79.392241,90.0,top
U1,95.480691,-72.912241,0.0,bottom
U10,105.90306,-83.792241,270.0,top
U11,75.99306,-80.752241,270.0,top
U2,81.810139,-50.777923,180.0,top
U3,81.220439,-56.197922,90.0,top
U4,78.190439,-45.252922,270.0,bottom
U5,80.830439,-38.907922,0.0,top
U6,60.07306,-48.662241,180.0,top
U7,66.777939,-76.327922,180.0,top
U8,101.422939,-43.367922,180.0,top
U9,64.62306,-86.222241,90.0,top
Y1,102.12306,-37.522241,0.0,top
